,PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
0,759.7840277218148,766.1693790876437,766.1693790876437,766.1693790876437,990.1114782281678,990.1114782281678,939.9930158218496,1038.7115746861507,1038.7115746861507,1051.8129073018918,1051.8129073018918,887.4428987609831
1,759.5775646708034,766.5853798364358,766.5853798364358,766.5853798364358,989.8424261960406,989.8424261960406,939.7375829371156,1039.2755554515566,1039.2755554515566,1052.3840015911828,1052.3840015911828,887.9247464052133
2,758.5452494157466,766.2733792748418,766.2733792748418,766.2733792748418,988.4971660354045,988.4971660354045,938.4604185134446,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
3,760.403416874849,766.1693790876437,766.1693790876437,766.1693790876437,990.9186343245494,990.9186343245494,940.7593144760524,1038.7115746861507,1038.7115746861507,1051.8129073018918,1051.8129073018918,887.4428987609831
4,760.403416874849,766.3773794620398,766.3773794620398,766.3773794620398,990.9186343245494,990.9186343245494,940.7593144760524,1038.9935650688537,1038.9935650688537,1052.0984544465373,1052.0984544465373,887.6838225830982
5,761.022806027883,765.8573785260498,765.8573785260498,765.8573785260498,991.7257904209312,991.7257904209312,941.5256131302548,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
6,759.3711016197921,766.2733792748418,766.2733792748418,766.2733792748418,989.5733741639134,989.5733741639134,939.4821500523811,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
7,760.403416874849,765.7533783388518,765.7533783388518,765.7533783388518,990.9186343245494,990.9186343245494,940.7593144760524,1038.1475939207448,1038.1475939207448,1051.2418130126007,1051.2418130126007,886.9610511167529
8,760.1969538238376,765.9613787132478,765.9613787132478,765.9613787132478,990.6495822924222,990.6495822924222,940.503881591318,1038.429584303448,1038.429584303448,1051.5273601572462,1051.5273601572462,887.201974938868
9,760.6098799258602,765.9613787132478,765.9613787132478,765.9613787132478,991.1876863566766,991.1876863566766,941.0147473607864,1038.429584303448,1038.429584303448,1051.5273601572462,1051.5273601572462,887.201974938868
10,761.4357321299058,765.7533783388518,765.7533783388518,765.7533783388518,992.2638944851856,992.2638944851856,942.0364788997232,1038.1475939207448,1038.1475939207448,1051.2418130126007,1051.2418130126007,886.9610511167529
11,761.022806027883,765.8573785260498,765.8573785260498,765.8573785260498,991.7257904209312,991.7257904209312,941.5256131302548,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
12,761.642195180917,765.5453779644557,765.5453779644557,765.5453779644557,992.5329465173128,992.5329465173128,942.2919117844576,1037.865603538042,1037.865603538042,1050.9562658679552,1050.9562658679552,886.7201272946378
