3484,4472,4517,6668,6670,6671,6682,6687,6906,6966,7026,7069,7092,9412,9483,9487,9867,9898,9903,10239,11747,13956,14030,14031,15630,15690,15847,18282,19629,20980,23773,23819,23854,28501,28601,28667,28704,28771,28953,30415,30941
2.2,14.9,4.2,34.7,67.5,135,2.4,51.5,1.6,1.6,5,103.8,2,3.2,55.4,3.3,38.1,95.6,1.1,3.2,3.2,9.6,11,1.6,13.4,9.6,3.2,40.5,3.1,28.3,2,11.2,51.4,5.2,52.5,4.5,8.4,9,1.7,3.5,1.6
