,line,reactance,limit
0,n_6660_n_6682,25.30505725749438,862.7417024617796
1,n_6678_n_6682,22.727839203361224,804.4743053063138
2,n_28667_n_6682,46.4647647488578,1281.4166994699806
3,n_6967_n_6682,31.46160344783669,994.1413958658688
4,n_6682_n_7011,32.69952072028903,1019.4343568570962
5,n_2415_n_6402,132.20405125642168,2531.1807807675123
6,n_6382_n_6384,499.5842904645514,1201.902334824396
7,n_9876_n_18868,251.6188988053708,769.0573513066853
8,n_30301_n_20153,1632.979342415421,2598.515412422379
9,n_18303_n_18301,787.489491072619,1616.330658125938
10,n_14283_n_29239,4811.262059662515,5250.8000969758195
11,n_18285_n_23854,19.011668349416805,716.2011144045956
12,n_9887_n_15226,90.9921134693142,396.6306851867467
13,n_28703_n_28702,77.9475498066247,358.62311137143024
14,n_18301_n_18304,599.5414720611946,1353.4280903487154
15,n_10013_n_23846,67.54345959013112,1634.750776246771
16,n_23782_n_9480,14.027519820463818,587.594041287924
17,n_9874_n_17072,175.35089375175107,607.9375441844676
18,n_30398_n_30399,34.10232604641608,209.37134975851512
19,n_6131_n_2416,54.953686848741704,1429.3242508216383
20,n_29016_n_23792,18.717263772638557,708.9614154554995
21,n_9842_n_9845,13.585746559391325,575.4799365802533
22,n_21559_n_21560,1077.4388073452471,1982.2684056552057
23,n_9851_n_23776,110.62225378094736,2253.8981755969817
24,n_4477_n_28505,20.13207844543429,743.403002232188
25,n_9956_n_30062,294.49944115663646,852.018177855655
26,n_6902_n_7700,40.69829003778968,234.9140266246301
27,n_15826_n_31016,60.679030234709415,304.6723317206142
28,n_319_n_29015,70.75609695607446,1684.9580828129313
29,n_28504_n_18302,9.717267990530113,462.683576824639
30,n_9851_n_30518,118.92338830987416,2362.608807450692
31,n_6676_n_22544,1114.2778296310094,10138.7773208708
32,n_23598_n_28945,26.675505217555315,892.8780781766661
33,n_18283_n_30400,246.87956280151707,759.5960422179625
34,n_7067_n_9824,240.23484744468945,3734.107890082661
35,n_9419_n_6664,15.911455695224252,637.8315196104514
36,n_9487_n_18868,117.76694463667576,469.1493358038175
37,n_322_n_7566,96.87254630064687,2067.328484925066
38,n_319_n_6894,57.96703048408588,1479.8704166242917
39,n_14001_n_14015,173.55747560955584,603.8825381074029
40,n_23775_n_9848,476.3385147568285,5830.636170849107
41,n_20895_n_29873,91.6517543049204,1994.0978818290216
42,n_15511_n_15512,102.84989998673528,429.55580170943193
43,n_9904_n_9910,112.18190008113346,2274.5346661649496
44,n_6709_n_6711,87.77339888097397,387.43970527047736
45,n_14496_n_26258,1240.977084078231,2173.2769623176296
46,n_9839_n_9840,30.19195580093697,967.8365627717988
47,n_26271_n_26273,6182.668989082497,6182.020494536586
48,n_28663_n_28673,101.64380343772731,2133.0571617993014
49,n_26269_n_28302,316.3300698156248,892.6193928443544
50,n_7590_n_19223,1684.3184623214486,13267.67984003261
51,n_14522_n_28305,3700.663545841307,4426.137366456401
52,n_26273_n_26276,9891.465222116058,8394.397613917568
53,n_6700_n_6703,102.26229141062304,2141.497769387617
54,n_29973_n_6897,15.384954867333535,624.0113175492587
55,n_20562_n_23861,389.9815237633735,5118.733128986021
56,n_29017_n_30068,283.3520649380408,4157.739711951676
57,n_2106_n_21118,3801.609610817573,4504.36651008848
58,n_23857_n_29979,63.00487921949973,1562.3754866092331
59,n_10013_n_10012,59.90539286899564,1511.9002447119212
60,n_6684_n_28470,6.567641056120169,3190.4658980311465
61,n_23847_n_29015,46.369806721296,1279.7112678829978
62,n_1572_n_7041,28.070846839016273,923.011608253272
63,n_6701_n_28771,85.21003742631639,1901.70130781032
64,n_1924_n_23766,54.12038547481009,1415.1769837026216
65,n_8330_n_8337,15.702598458898066,632.3685836812082
66,n_6134_n_6177,50.70352821765205,1356.3528326283904
67,n_9941_n_23814,340.61241744425035,4686.993953618341
68,n_1060_n_1061,277.0844548307617,4097.635654449401
69,n_6402_n_10053,30.064089151908224,965.166198552681
70,n_9942_n_18290,329.94308298195756,917.4421196195766
71,n_23802_n_30494,107.40669021756923,2211.027892342031
72,n_1834_n_6891,109.46360390852226,19919.80964515549
73,n_19634_n_28669,32.32212288483741,1011.7593881961644
74,n_9865_n_23787,123.19355729574043,2417.4951324850854
75,n_28470_n_4473,10.887312390371202,4433.594269658734
76,n_23783_n_9867,28.044894112167896,922.4559782074972
77,n_9847_n_23775,46.59702070718822,1283.789970750728
78,n_10025_n_14045,160.80083063563916,574.6038647502687
79,n_26270_n_28300,589.4213758527777,1338.5115295236274
80,n_23848_n_28671,124.01862230848992,2428.023000901494
81,n_26274_n_28309,883.240965366495,1741.696298938194
82,n_26570_n_31224,91001.83749346226,35597.256056758575
83,n_28711_n_30943,101.71427497485864,2134.0198015466276
84,n_7703_n_9823,106.51928723587292,2199.118412880153
85,n_29004_n_9898,19.688130729827616,732.6894570104254
86,n_9483_n_23781,275.776618503608,4085.0343971674056
87,n_9864_n_9866,225.35075918654604,3581.822403709207
88,n_6691_n_25047,155.70434358840282,2815.6625006116624
89,n_7089_n_9821,66.23204474852243,1614.017343274766
90,n_4532_n_4534,21.177627231254363,768.3143505321399
91,n_18692_n_28635,50.34366592512276,1350.0781597656055
92,n_26276_n_28308,1213.2145690780146,2141.500873993751
93,n_3494_n_30304,605.378210390227,1361.991209187285
94,n_322_n_20897,49.18146829592163,1329.7058920387476
95,n_2042_n_18704,5992.5158814678425,6057.570152975791
96,n_9956_n_29011,26.569455001599035,890.5656206030652
97,n_4093_n_7049,34.61676827317074,1057.9578078644574
98,n_6987_n_22602,205.9755685124285,675.101222911153
