name,node_bat,bat_cap,bat_RoC,bat_RoD,bat_eff
Sto_CPLE,20562,1420,355,355,0.9
Sto_CPLW,10019,1420,426,426,0.92
Sto_DUK,30882,1420,284,284,0.88
