,name,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Total_Capacity,weights,fuel_type,nearest_node,Weight
73,PP_56292_ES1,ngct,28663,n_28663,CPLE,57.3,57.3,6.76235573,21.774,3.17,57.14599038,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
74,PP_56292_ES2,ngct,28663,n_28663,CPLE,57.3,57.3,2.909009208,21.774,3.17,24.58288485,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
75,PP_56292_ES3,ngct,28663,n_28663,CPLE,57.3,57.3,3.374423564,21.774,3.17,28.51591727,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
76,PP_56292_ES4,ngct,28663,n_28663,CPLE,57.3,57.3,6.939299966,21.774,3.17,58.64127605,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
77,PP_56292_ES5,ngct,28663,n_28663,CPLE,57.3,57.3,7.048787496,21.774,3.17,59.56651181,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
78,PP_56292_ES6,ngct,28663,n_28663,CPLE,57.3,57.3,3.422845555,21.774,3.17,28.92511234,4011,57.3,1,1,2581.9,0.02219295867384484,ngct,n_28663,0.02219295867384484
79,PP_57029_1,ngct,29803,n_29803,DUK,184.0,184.0,10.33800054,69.92,3.17,280.5352908,12880,184.0,1,1,6818.0,0.026987386330302142,ngct,n_29803,0.026987386330302142
80,PP_57029_2,ngct,29803,n_29803,DUK,184.0,184.0,10.38112521,69.92,3.17,281.7055357,12880,184.0,1,1,6818.0,0.026987386330302142,ngct,n_29803,0.026987386330302142
81,PP_57029_3,ngct,29803,n_29803,DUK,184.0,184.0,10.63188612,69.92,3.17,288.510264,12880,184.0,1,1,6818.0,0.026987386330302142,ngct,n_29803,0.026987386330302142
82,PP_57029_4,ngct,29803,n_29803,DUK,184.0,184.0,9.65182645,69.92,3.17,261.9150511,12880,184.0,1,1,6818.0,0.026987386330302142,ngct,n_29803,0.026987386330302142
83,PP_57505_1,ngct,15782,n_15782,DUK,15.0,15.0,30.34166667,5.7,3.17,67.12183501,1050,15.0,1,1,6818.0,0.0022000586682311527,ngct,n_15782,0.0022000586682311527
84,PP_57505_2,ngct,15782,n_15782,DUK,15.0,15.0,30.34166667,5.7,3.17,67.12183501,1050,15.0,1,1,6818.0,0.0022000586682311527,ngct,n_15782,0.0022000586682311527
85,PP_58400_GT01,ngct,229,n_229,DUK,5.5,5.5,20.65079365,2.09,3.17,16.75068476,385,5.5,1,1,6818.0,0.0008066881783514227,ngct,n_229,0.0008066881783514227
86,PP_59325_KMEC1,ngcc,29803,n_29803,DUK,310.2,310.2,6.799916498,117.876,3.17,299.9454824,21714,310.2,6,6,5069.4,0.06119067345247958,ngcc,n_29803,0.06119067345247958
87,PP_59325_KMEC2,ngcc,29803,n_29803,DUK,233.7,233.7,6.799916498,88.806,3.17,225.9744012,16359,233.7,6,6,5069.4,0.046100130192922244,ngcc,n_29803,0.046100130192922244
88,PP_61675_CTG1,ngct,12439,n_12439,CPLE,5.6,5.6,12.80846445,2.128,3.17,10.57835709,392,5.6,1,1,2581.9,0.002168945350323405,ngct,n_12439,0.002168945350323405
89,PP_61675_STG,ngct,12439,n_12439,CPLE,1.0,1.0,18.21190476,0.38,3.17,2.685891714,70,1.0,1,1,2581.9,0.00038731166970060806,ngct,n_12439,0.00038731166970060806
90,PP_61676_CTG1,ngct,12439,n_12439,CPLE,5.6,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1,2581.9,0.002168945350323405,ngct,n_12439,0.002168945350323405
91,PP_61676_CTG2,ngct,12439,n_12439,CPLE,5.6,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1,2581.9,0.002168945350323405,ngct,n_12439,0.002168945350323405
92,PP_63063_GT01,ngct,229,n_229,DUK,13.4,13.4,15.11989326,5.092,3.17,29.8804169,938,13.4,1,1,6818.0,0.00196538574361983,ngct,n_229,0.00196538574361983
93,PP_7277_1,ngct,4099,n_4099,DUK,109.6,109.6,16.11295154,41.648,3.17,260.446655,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
94,PP_7277_10,ngct,4099,n_4099,DUK,109.6,109.6,10.33347846,41.648,3.17,167.0283618,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
95,PP_7277_11,ngct,4099,n_4099,DUK,109.6,109.6,18.77286987,41.648,3.17,303.4410642,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
96,PP_7277_12,ngct,4099,n_4099,DUK,109.6,109.6,16.38613326,41.648,3.17,264.8623119,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
97,PP_7277_13,ngct,4099,n_4099,DUK,109.6,109.6,16.05036228,41.648,3.17,259.4349742,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
98,PP_7277_14,ngct,4099,n_4099,DUK,109.6,109.6,16.1252256,41.648,3.17,260.6450506,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
99,PP_7277_15,ngct,4099,n_4099,DUK,109.6,109.6,14.43116937,41.648,3.17,233.2626509,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
