name,Plan_ID,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,weights,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_2713_CT2,PP_2713,ngcc,28666,n_28666,CPLE,221,0.012699471,221,7.079761535,83.98,3.17,222.4886473,15470,221,6,6
PP_2720_CT11,PP_2720,ngcc,31267,n_31267,DUK,185.3,0.005353464,185.3,11.70664028,70.414,3.17,308.464113,12971,185.3,6,6
PP_2720_CT12,PP_2720,ngcc,31267,n_31267,DUK,185.3,0.005353464,185.3,11.41271849,70.414,3.17,300.7194209,12971,185.3,6,6
PP_2720_ST10,PP_2720,ngcc,31267,n_31267,DUK,327.3,0.009455957,327.3,6.93533071,124.374,3.17,322.7826127,22911,327.3,6,6
PP_2723_CT8,PP_2723,ngcc,7014,n_7014,DUK,185.3,0.005353464,185.3,12.05815067,70.414,3.17,317.7262359,12971,185.3,6,6
PP_2723_CT9,PP_2723,ngcc,7014,n_7014,DUK,185.3,0.005353464,185.3,11.9697903,70.414,3.17,315.3979843,12971,185.3,6,6
PP_2723_ST7,PP_2723,ngcc,7014,n_7014,DUK,327.3,0.009455957,327.3,7.169014213,124.374,3.17,333.6586581,22911,327.3,6,6
PP_3250_12,PP_3250,ngct,6707,n_6707,CPLE,158,0.00907926,158,22.8891042,60.04,3.17,533.3582438,11060,158,1,1
PP_3250_13,PP_3250,ngct,6707,n_6707,CPLE,158,0.00907926,158,15.24638777,60.04,3.17,355.2688884,11060,158,1,1
PP_3264_3,PP_3264,ngct,10239,n_10239,DUK,163.2,0.004714978,163.2,7.192703841,62.016,3.17,173.1192899,11424,163.2,1,1
PP_3264_7,PP_3264,ngct,10239,n_10239,DUK,54,0.001560103,54,11.97473995,20.52,3.17,95.36587098,3780,54,1,1
PP_3264_8,PP_3264,ngct,10239,n_10239,DUK,54,0.001560103,54,15.78093839,20.52,3.17,125.6781309,3780,54,1,1
PP_3264_CT11,PP_3264,ngcc,10239,n_10239,DUK,242.3,0.00700024,242.3,12.18914372,92.074,3.17,419.9751211,16961,242.3,6,6
PP_3264_CT12,PP_3264,ngcc,10239,n_10239,DUK,242.3,0.00700024,242.3,12.16408733,92.074,3.17,419.111807,16961,242.3,6,6
PP_3264_ST10,PP_3264,ngcc,10239,n_10239,DUK,362.1,0.010461357,362.1,7.192703841,137.598,3.17,370.3545253,25347,362.1,6,6
PP_3291_GT2,PP_3291,ngct,9961,n_9961,DUK,19.6,0.00056626,19.6,16.4977092,7.448,3.17,47.6884102,1372,19.6,1,1
PP_3291_GT3,PP_3291,ngct,9961,n_9961,DUK,22.3,0.000644265,22.3,16.49769738,8.474,3.17,54.25769313,1561,22.3,1,1
PP_3291_GT4,PP_3291,ngct,9961,n_9961,DUK,22.3,0.000644265,22.3,16.49769738,8.474,3.17,54.25769313,1561,22.3,1,1
PP_55043_GT1,PP_55043,ngcc,4521,n_4521,DUK,60,0.001733448,60,12.37510126,22.8,3.17,105.5837211,4200,60,6,6
PP_55043_ST1,PP_55043,ngcc,4521,n_4521,DUK,41.2,0.001190301,41.2,7.260931387,15.656,3.17,42.53892406,2884,41.2,6,6
