,n_6705,n_18689,n_319
0,759.7840277218148,1980.2229564563356,939.9930158218497
1,759.5775646708034,1979.6848523920812,939.7375829371155
2,758.5452494157466,1976.994332070809,938.4604185134446
3,760.403416874849,1981.8372686490989,940.7593144760523
4,760.403416874849,1981.8372686490989,940.7593144760523
5,761.022806027883,1983.4515808418623,941.5256131302549
6,759.3711016197921,1979.1467483278268,939.4821500523813
7,760.403416874849,1981.8372686490989,940.7593144760523
8,760.1969538238376,1981.2991645848444,940.5038815913181
9,760.6098799258602,1982.3753727133533,941.0147473607865
10,761.4357321299058,1984.5277889703711,942.0364788997233
11,761.022806027883,1983.4515808418623,941.5256131302549
12,761.642195180917,1985.0658930346256,942.2919117844575
13,761.4357321299058,1984.5277889703711,942.0364788997233
14,762.2615843339512,1986.6802052273888,943.05821043866
15,762.0551212829398,1986.1421011631344,942.8027775539259
16,762.4680473849626,1987.2183092916432,943.3136433233942
17,761.642195180917,1985.0658930346256,942.2919117844575
18,762.8809734869852,1988.2945174201523,943.8245090928626
19,761.2292690788944,1983.9896849061167,941.7810460149891
20,761.8486582319284,1985.60399709888,942.5473446691917
21,761.8486582319284,1985.60399709888,942.5473446691917
22,761.642195180917,1985.0658930346256,942.2919117844575
23,762.0551212829398,1986.1421011631344,942.8027775539259
24,762.2615843339512,1986.6802052273888,943.05821043866
25,761.2292690788944,1983.9896849061167,941.7810460149891
26,761.642195180917,1985.0658930346256,942.2919117844575
27,762.0551212829398,1986.1421011631344,942.8027775539259
28,761.2292690788944,1983.9896849061167,941.7810460149891
29,762.4680473849626,1987.2183092916432,943.3136433233942
30,761.2292690788944,1983.9896849061167,941.7810460149891
31,761.8486582319284,1985.60399709888,942.5473446691917
32,760.8163429768716,1982.9134767776077,941.2701802455207
33,761.022806027883,1983.4515808418623,941.5256131302549
34,762.2615843339512,1986.6802052273888,943.05821043866
35,761.2292690788944,1983.9896849061167,941.7810460149891
36,761.022806027883,1983.4515808418623,941.5256131302549
37,761.022806027883,1983.4515808418623,941.5256131302549
38,760.8163429768716,1982.9134767776077,941.2701802455207
39,761.4357321299058,1984.5277889703711,942.0364788997233
40,761.4357321299058,1984.5277889703711,942.0364788997233
41,761.2292690788944,1983.9896849061167,941.7810460149891
42,760.8163429768716,1982.9134767776077,941.2701802455207
43,760.403416874849,1981.8372686490989,940.7593144760523
44,760.403416874849,1981.8372686490989,940.7593144760523
45,759.7840277218148,1980.2229564563356,939.9930158218497
46,759.1646385687808,1978.6086442635722,939.226717167647
47,759.5775646708034,1979.6848523920812,939.7375829371155
48,759.7840277218148,1980.2229564563356,939.9930158218497
49,758.3387863647353,1976.4562280065545,938.2049856287103
50,759.9904907728262,1980.76106052059,940.2484487065839
