,Plant_id,Balancing Authority Name,Balancing Authority Code,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,index_right,NAME
6682,PP_6250,Duke Energy Progress East,CPLE,763.2,COAL,-78.8917,36.5278,POINT (-78.8917 36.5278),grey,1,DUKE ENERGY CAROLINAS
6687,PP_6038,Duke Energy Carolinas,DUK,2440.6,NUCLEAR,-80.9486,35.4331,POINT (-80.9486 35.4331),cyan,1,DUKE ENERGY CAROLINAS
6689,PP_59936,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.38589,35.55543,POINT (-80.38589 35.55543),yellow,1,DUKE ENERGY CAROLINAS
6690,PP_64117,Duke Energy Progress East,CPLE,4.9,SOLAR,-79.023055,35.551944,POINT (-79.023055 35.551944),yellow,1,DUKE ENERGY CAROLINAS
6694,PP_60579,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.604589,36.288911,POINT (-78.604589 36.288911),yellow,1,DUKE ENERGY CAROLINAS
6695,PP_10181,Duke Energy Progress East,CPLE,2.4,HYDRO,-82.5992,35.6497,POINT (-82.5992 35.6497),royalblue,1,DUKE ENERGY CAROLINAS
6696,PP_58336,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.949586,36.230561,POINT (-78.949586 36.230561),yellow,1,DUKE ENERGY CAROLINAS
6699,PP_61160,Duke Energy Carolinas,DUK,1.4,SOLAR,-80.821,35.575,POINT (-80.821 35.575),yellow,1,DUKE ENERGY CAROLINAS
6700,PP_59576,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.771085,35.81771,POINT (-79.771085 35.81771),yellow,1,DUKE ENERGY CAROLINAS
6701,PP_61093,Duke Energy Progress East,CPLE,5.0,SOLAR,-79.935844,34.968056,POINT (-79.935844 34.968056),yellow,1,DUKE ENERGY CAROLINAS
6702,PP_58739,Duke Energy Carolinas,DUK,3.0,SOLAR,-79.348889,36.148889,POINT (-79.348889 36.148889),yellow,1,DUKE ENERGY CAROLINAS
6703,PP_58740,Duke Energy Carolinas,DUK,3.0,SOLAR,-79.361944,35.948056,POINT (-79.36194399999999 35.948056),yellow,1,DUKE ENERGY CAROLINAS
6704,PP_59577,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.293611,35.468611,POINT (-80.293611 35.468611),yellow,1,DUKE ENERGY CAROLINAS
6705,PP_2746,Duke Energy Carolinas,DUK,1.8,HYDRO,-83.9258,35.0647,POINT (-83.9258 35.0647),royalblue,1,DUKE ENERGY CAROLINAS
6706,PP_58313,Duke Energy Progress East,CPLE,5.0,SOLAR,-80.541944,35.878611,POINT (-80.541944 35.878611),yellow,1,DUKE ENERGY CAROLINAS
6707,PP_59570,Duke Energy Carolinas,DUK,15.4,SOLAR,-80.574444,35.833889,POINT (-80.574444 35.833889),yellow,1,DUKE ENERGY CAROLINAS
6709,PP_59123,Duke Energy Progress East,CPLE,3.0,SOLAR,-79.0325,35.568333,POINT (-79.0325 35.568333),yellow,1,DUKE ENERGY CAROLINAS
6710,PP_57505,Duke Energy Carolinas,DUK,30.0,GAS,-80.506037,34.985814,POINT (-80.50603700000001 34.985814),red,1,DUKE ENERGY CAROLINAS
6711,PP_56343,Duke Energy Carolinas,DUK,1.8,OIL,-80.540038,34.973274,POINT (-80.540038 34.973274),darkviolet,1,DUKE ENERGY CAROLINAS
6712,PP_59578,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.601944,34.971944,POINT (-80.601944 34.971944),yellow,1,DUKE ENERGY CAROLINAS
6713,PP_60383,Duke Energy Carolinas,DUK,54.6,SOLAR,-80.625615,34.929945,POINT (-80.625615 34.929945),yellow,1,DUKE ENERGY CAROLINAS
6715,PP_64193,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.48112,36.38427,POINT (-79.48112 36.38427),yellow,1,DUKE ENERGY CAROLINAS
6716,PP_58337,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.759203,36.273192,POINT (-79.759203 36.273192),yellow,1,DUKE ENERGY CAROLINAS
6721,PP_56344,Duke Energy Carolinas,DUK,1.8,OIL,-81.748075,35.729,POINT (-81.748075 35.729),darkviolet,1,DUKE ENERGY CAROLINAS
6722,PP_56064,Duke Energy Carolinas,DUK,1.8,OIL,-81.66243,35.7208,POINT (-81.66243 35.7208),darkviolet,1,DUKE ENERGY CAROLINAS
6723,PP_61881,Duke Energy Progress East,CPLE,2.0,SOLAR,-79.742842,35.546315,POINT (-79.742842 35.546315),yellow,1,DUKE ENERGY CAROLINAS
6726,PP_2728,Duke Energy Carolinas,DUK,60.0,HYDRO,-80.9867,35.3339,POINT (-80.9867 35.3339),royalblue,1,DUKE ENERGY CAROLINAS
6730,PP_57677,Duke Energy Carolinas,DUK,1.0,SOLAR,-84.157254,34.999167,POINT (-84.15725399999999 34.999167),yellow,1,DUKE ENERGY CAROLINAS
6733,PP_2747,Duke Energy Carolinas,DUK,43.2,HYDRO,-83.6762,35.2715,POINT (-83.67619999999999 35.2715),royalblue,1,DUKE ENERGY CAROLINAS
6734,PP_54894,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,108.8,HYDRO,-80.0917,35.4189,POINT (-80.0917 35.4189),royalblue,1,DUKE ENERGY CAROLINAS
6740,PP_61610,Duke Energy Carolinas,DUK,74.8,SOLAR,-80.4975,35.2925,POINT (-80.4975 35.2925),yellow,1,DUKE ENERGY CAROLINAS
6742,PP_56249,Duke Energy Progress East,CPLE,343.8,GAS,-79.921738,34.968651,POINT (-79.921738 34.968651),red,1,DUKE ENERGY CAROLINAS
6744,PP_61676,Duke Energy Progress East,CPLE,11.2,GAS,-78.674704,35.784027,POINT (-78.67470400000001 35.784027),red,1,DUKE ENERGY CAROLINAS
6745,PP_61675,Duke Energy Progress East,CPLE,6.6,GAS,-78.673723,35.775583,POINT (-78.673723 35.775583),red,1,DUKE ENERGY CAROLINAS
6746,PP_60072,Duke Energy Carolinas,DUK,2.0,SOLAR,-81.568878,35.289757,POINT (-81.568878 35.289757),yellow,1,DUKE ENERGY CAROLINAS
6747,PP_58524,Duke Energy Carolinas,DUK,1.1,SOLAR,-78.498889,35.714444,POINT (-78.49888900000001 35.714444),yellow,1,DUKE ENERGY CAROLINAS
6751,PP_58741,Duke Energy Progress East,CPLE,5.0,SOLAR,-79.548056,35.991111,POINT (-79.548056 35.991111),yellow,1,DUKE ENERGY CAROLINAS
6762,PP_61534,Duke Energy Carolinas,DUK,2.0,SOLAR,-81.812045,35.297715,POINT (-81.812045 35.297715),yellow,1,DUKE ENERGY CAROLINAS
6763,PP_59519,Duke Energy Carolinas,DUK,3.5,SOLAR,-81.134167,35.711667,POINT (-81.13416700000001 35.711667),yellow,1,DUKE ENERGY CAROLINAS
6764,PP_64522,Duke Energy Progress East,CPLE,2.3,SOLAR,-79.788,35.713,POINT (-79.788 35.713),yellow,1,DUKE ENERGY CAROLINAS
6765,PP_60600,Duke Energy Carolinas,DUK,5.3,SOLAR,-80.48191,34.95233,POINT (-80.48191 34.95233),yellow,1,DUKE ENERGY CAROLINAS
6768,PP_58638,Duke Energy Carolinas,DUK,5.2,BIOMASS,-80.811667,35.2625,POINT (-80.811667 35.2625),forestgreen,1,DUKE ENERGY CAROLINAS
6769,PP_60284,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.451125,35.525584,POINT (-80.451125 35.525584),yellow,1,DUKE ENERGY CAROLINAS
6770,PP_59999,Duke Energy Carolinas,DUK,3.0,SOLAR,-79.24481,36.084097,POINT (-79.24481 36.084097),yellow,1,DUKE ENERGY CAROLINAS
6771,PP_58742,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.315278,35.586111,POINT (-81.31527800000001 35.586111),yellow,1,DUKE ENERGY CAROLINAS
6772,PP_2729,Duke Energy Carolinas,DUK,36.0,HYDRO,-81.1922,35.8214,POINT (-81.1922 35.8214),royalblue,1,DUKE ENERGY CAROLINAS
6788,PP_58305,Duke Energy Progress East,CPLE,1.0,SOLAR,-78.9675,36.3125,POINT (-78.9675 36.3125),yellow,1,DUKE ENERGY CAROLINAS
6790,PP_58538,Duke Energy Carolinas,DUK,2.5,SOLAR,-78.986111,36.288056,POINT (-78.98611099999999 36.288056),yellow,1,DUKE ENERGY CAROLINAS
6791,PP_65555,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.653997,36.271819,POINT (-78.653997 36.271819),yellow,1,DUKE ENERGY CAROLINAS
6796,PP_60629,Duke Energy Carolinas,DUK,2.0,SOLAR,-78.97198,36.43741,POINT (-78.97198 36.43741),yellow,1,DUKE ENERGY CAROLINAS
6800,PP_63835,Duke Energy Carolinas,DUK,4.9,SOLAR,-80.37635,36.27066,POINT (-80.37635 36.27066),yellow,1,DUKE ENERGY CAROLINAS
6802,PP_56345,Duke Energy Carolinas,DUK,1.8,OIL,-80.8816,35.0767,POINT (-80.88160000000001 35.0767),darkviolet,1,DUKE ENERGY CAROLINAS
6803,PP_7826,Duke Energy Carolinas,DUK,1192.0,GAS,-80.6019,35.7314,POINT (-80.6019 35.7314),red,1,DUKE ENERGY CAROLINAS
6815,PP_6438,Duke Energy Carolinas,DUK,1.4,HYDRO,-83.676016,35.27127,POINT (-83.676016 35.27127),royalblue,1,DUKE ENERGY CAROLINAS
6824,PP_63017,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.376,35.933,POINT (-80.376 35.933),yellow,1,DUKE ENERGY CAROLINAS
6830,PP_59114,Duke Energy Carolinas,DUK,2.0,SOLAR,-80.665833,35.710833,POINT (-80.66583300000001 35.710833),yellow,1,DUKE ENERGY CAROLINAS
6831,PP_58865,Duke Energy Carolinas,DUK,3.5,BIOMASS,-80.998889,35.294444,POINT (-80.99888900000001 35.294444),forestgreen,1,DUKE ENERGY CAROLINAS
6832,PP_2730,Duke Energy Carolinas,DUK,25.5,HYDRO,-81.437773,35.774234,POINT (-81.43777300000001 35.774234),royalblue,1,DUKE ENERGY CAROLINAS
6835,PP_65110,Duke Energy Progress East,CPLE,2.0,SOLAR,-79.57982,35.86546,POINT (-79.57982 35.86546),yellow,1,DUKE ENERGY CAROLINAS
6841,PP_55116,Duke Energy Carolinas,DUK,977.5,GAS,-79.8297,36.3297,POINT (-79.8297 36.3297),red,1,DUKE ENERGY CAROLINAS
6843,PP_58668,Duke Energy Carolinas,DUK,3.5,SOLAR,-80.474722,35.541667,POINT (-80.474722 35.541667),yellow,1,DUKE ENERGY CAROLINAS
6845,PP_60761,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.440717,35.187475,POINT (-81.44071700000001 35.187475),yellow,1,DUKE ENERGY CAROLINAS
6849,PP_2712,Duke Energy Progress East,CPLE,2558.2,COAL,-79.0731,36.4833,POINT (-79.0731 36.4833),grey,1,DUKE ENERGY CAROLINAS
