,n_29228,n_28505,n_6652,n_29011
0,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
1,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
2,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
3,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
4,2299.132138386119,2077.9871301377075,2104.1969088930746,887.6838225830982
5,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
6,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
7,2297.260135016555,2076.2951878414897,2102.4836260252014,886.9610511167529
8,2297.884136139743,2076.8591686068958,2103.0547203144924,887.201974938868
9,2297.884136139743,2076.8591686068958,2103.0547203144924,887.201974938868
10,2297.260135016555,2076.2951878414897,2102.4836260252014,886.9610511167529
11,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
12,2296.636133893367,2075.731207076084,2101.9125317359103,886.7201272946378
13,2296.636133893367,2075.731207076084,2101.9125317359103,886.7201272946378
14,2296.636133893367,2075.731207076084,2101.9125317359103,886.7201272946378
15,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
16,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
17,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
18,2299.132138386119,2077.9871301377075,2104.1969088930746,887.6838225830982
19,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
20,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
21,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
22,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
23,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
24,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
25,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
26,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
27,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
28,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
29,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
30,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
31,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
32,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
33,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
34,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
35,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
36,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
37,2297.884136139743,2076.8591686068958,2103.0547203144924,887.201974938868
38,2299.132138386119,2077.9871301377075,2104.1969088930746,887.6838225830982
39,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
40,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
41,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
42,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
43,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
44,2299.132138386119,2077.9871301377075,2104.1969088930746,887.6838225830982
45,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
46,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
47,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
48,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
49,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
50,2296.9481344549613,2076.013197458787,2102.198078880556,886.8405892056953
51,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
52,2296.9481344549613,2076.013197458787,2102.198078880556,886.8405892056953
53,2299.444138947713,2078.26912052041,2104.48245603772,887.8042844941558
54,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
55,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
56,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
57,2299.444138947713,2078.26912052041,2104.48245603772,887.8042844941558
58,2299.444138947713,2078.26912052041,2104.48245603772,887.8042844941558
59,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
60,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
61,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
62,2297.884136139743,2076.8591686068958,2103.0547203144924,887.201974938868
63,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
64,2299.444138947713,2078.26912052041,2104.48245603772,887.8042844941558
65,2298.8201378245253,2077.7051397550044,2103.911361748429,887.5633606720406
66,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
67,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
68,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
69,2298.508137262931,2077.4231493723014,2103.6258146037835,887.4428987609831
70,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
71,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
72,2297.5721355781493,2076.5771782241927,2102.769173169847,887.0815130278104
73,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
74,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
75,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
76,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
77,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
78,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
79,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
80,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
81,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
82,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
83,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
84,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
85,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
86,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
87,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
88,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
89,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
90,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
91,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
92,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
93,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
94,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
95,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
96,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
97,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
98,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
99,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
100,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
101,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
102,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
103,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
104,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
105,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
106,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
107,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
108,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
109,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
110,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
111,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
112,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
113,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
114,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
115,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
116,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
117,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
118,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
119,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
120,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
121,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
122,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
123,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
124,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
125,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
126,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
127,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
128,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
129,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
130,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
131,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
132,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
133,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
134,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
135,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
136,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
137,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
138,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
139,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
