,n_23779,n_23847,n_28601
0,2.1028037383177574,4.121495327102804,2.7757009345794392
1,1.869158878504673,3.6635514018691593,2.467289719626168
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,2.1028037383177574,4.121495327102804,2.7757009345794392
14,1.869158878504673,3.6635514018691593,2.467289719626168
15,2.1028037383177574,4.121495327102804,2.7757009345794392
16,2.1028037383177574,4.121495327102804,2.7757009345794392
17,2.1028037383177574,4.121495327102804,2.7757009345794392
18,2.1028037383177574,4.121495327102804,2.7757009345794392
19,2.1028037383177574,4.121495327102804,2.7757009345794392
20,1.869158878504673,3.6635514018691593,2.467289719626168
21,2.1028037383177574,4.121495327102804,2.7757009345794392
22,2.1028037383177574,4.121495327102804,2.7757009345794392
23,1.869158878504673,3.6635514018691593,2.467289719626168
24,2.1028037383177574,4.121495327102804,2.7757009345794392
25,2.1028037383177574,4.121495327102804,2.7757009345794392
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,1.869158878504673,3.6635514018691593,2.467289719626168
38,2.1028037383177574,4.121495327102804,2.7757009345794392
39,2.3364485981308416,4.579439252336449,3.08411214953271
40,2.3364485981308416,4.579439252336449,3.08411214953271
41,2.3364485981308416,4.579439252336449,3.08411214953271
42,2.3364485981308416,4.579439252336449,3.08411214953271
43,2.3364485981308416,4.579439252336449,3.08411214953271
44,2.1028037383177574,4.121495327102804,2.7757009345794392
45,2.3364485981308416,4.579439252336449,3.08411214953271
46,2.1028037383177574,4.121495327102804,2.7757009345794392
47,1.869158878504673,3.6635514018691593,2.467289719626168
48,2.1028037383177574,4.121495327102804,2.7757009345794392
49,2.1028037383177574,4.121495327102804,2.7757009345794392
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,2.1028037383177574,4.121495327102804,2.7757009345794392
62,2.1028037383177574,4.121495327102804,2.7757009345794392
63,2.1028037383177574,4.121495327102804,2.7757009345794392
64,2.3364485981308416,4.579439252336449,3.08411214953271
65,2.3364485981308416,4.579439252336449,3.08411214953271
66,2.5700934579439254,5.037383177570094,3.392523364485981
67,2.3364485981308416,4.579439252336449,3.08411214953271
68,2.3364485981308416,4.579439252336449,3.08411214953271
