,name,typ,node,M2S_node,maxcap,Gen_MWh,Weights,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Long,Lat,geometry,index_right,NAME
49,PP_3250_12,ngct,6707,n_6707,158.0,158.0,,22.8891042,60.04,3.17,533.3582438,11060,158.0,1,1,-80.16758068,34.4176449,POINT (-80.16758068 34.4176449),0,DUKE ENERGY PROGRESS EAST
50,PP_3250_13,ngct,6707,n_6707,158.0,158.0,,15.24638777,60.04,3.17,355.2688884,11060,158.0,1,1,-80.16758068,34.4176449,POINT (-80.16758068 34.4176449),0,DUKE ENERGY PROGRESS EAST
67,PP_56249_1,ngct,29024,n_29024,57.3,57.3,,3.988123447,21.774,3.17,33.70205195,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
68,PP_56249_2,ngct,29024,n_29024,57.3,57.3,,5.928300405,21.774,3.17,50.09771912,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
69,PP_56249_3,ngct,29024,n_29024,57.3,57.3,,5.366900809,21.774,3.17,45.35355344,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
70,PP_56249_4,ngct,29024,n_29024,57.3,57.3,,6.002832867,21.774,3.17,50.72756344,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
71,PP_56249_5,ngct,29024,n_29024,57.3,57.3,,3.768655408,21.774,3.17,31.84741447,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
72,PP_56249_6,ngct,29024,n_29024,57.3,57.3,,5.761277734,21.774,3.17,48.68627666,4011,57.3,1,1,-79.91979125,34.96856567,POINT (-79.91979125 34.96856567),0,DUKE ENERGY PROGRESS EAST
73,PP_56292_ES1,ngct,28663,n_28663,57.3,57.3,,6.76235573,21.774,3.17,57.14599038,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
74,PP_56292_ES2,ngct,28663,n_28663,57.3,57.3,,2.909009208,21.774,3.17,24.58288485,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
75,PP_56292_ES3,ngct,28663,n_28663,57.3,57.3,,3.374423564,21.774,3.17,28.51591727,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
76,PP_56292_ES4,ngct,28663,n_28663,57.3,57.3,,6.939299966,21.774,3.17,58.64127605,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
77,PP_56292_ES5,ngct,28663,n_28663,57.3,57.3,,7.048787496,21.774,3.17,59.56651181,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
78,PP_56292_ES6,ngct,28663,n_28663,57.3,57.3,,3.422845555,21.774,3.17,28.92511234,4011,57.3,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
88,PP_61675_CTG1,ngct,12439,n_12439,5.6,5.6,,12.80846445,2.128,3.17,10.57835709,392,5.6,1,1,-78.67830688,35.77544505,POINT (-78.67830687999999 35.77544505),0,DUKE ENERGY PROGRESS EAST
89,PP_61675_STG,ngct,12439,n_12439,1.0,1.0,,18.21190476,0.38,3.17,2.685891714,70,1.0,1,1,-78.67830688,35.77544505,POINT (-78.67830687999999 35.77544505),0,DUKE ENERGY PROGRESS EAST
