,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
76,PP_56292_ES4,ngct,n_28663,CPLE,57.3,0.02219295867384484
77,PP_56292_ES5,ngct,n_28663,CPLE,57.3,0.02219295867384484
78,PP_56292_ES6,ngct,n_28663,CPLE,57.3,0.02219295867384484
79,PP_57029_1,ngct,n_29803,DUK,184.0,0.026987386330302142
80,PP_57029_2,ngct,n_29803,DUK,184.0,0.026987386330302142
81,PP_57029_3,ngct,n_29803,DUK,184.0,0.026987386330302142
82,PP_57029_4,ngct,n_29803,DUK,184.0,0.026987386330302142
83,PP_57505_1,ngct,n_15782,DUK,15.0,0.0022000586682311527
84,PP_57505_2,ngct,n_15782,DUK,15.0,0.0022000586682311527
85,PP_58400_GT01,ngct,n_229,DUK,5.5,0.0008066881783514227
86,PP_59325_KMEC1,ngcc,n_29803,DUK,310.2,0.06119067345247958
87,PP_59325_KMEC2,ngcc,n_29803,DUK,233.7,0.046100130192922244
88,PP_61675_CTG1,ngct,n_12439,CPLE,5.6,0.002168945350323405
89,PP_61675_STG,ngct,n_12439,CPLE,1.0,0.00038731166970060806
90,PP_61676_CTG1,ngct,n_12439,CPLE,5.6,0.002168945350323405
91,PP_61676_CTG2,ngct,n_12439,CPLE,5.6,0.002168945350323405
92,PP_63063_GT01,ngct,n_229,DUK,13.4,0.00196538574361983
93,PP_7277_1,ngct,n_4099,DUK,109.6,0.016075095335875624
94,PP_7277_10,ngct,n_4099,DUK,109.6,0.016075095335875624
95,PP_7277_11,ngct,n_4099,DUK,109.6,0.016075095335875624
96,PP_7277_12,ngct,n_4099,DUK,109.6,0.016075095335875624
97,PP_7277_13,ngct,n_4099,DUK,109.6,0.016075095335875624
98,PP_7277_14,ngct,n_4099,DUK,109.6,0.016075095335875624
99,PP_7277_15,ngct,n_4099,DUK,109.6,0.016075095335875624
100,PP_7277_16,ngct,n_4099,DUK,109.6,0.016075095335875624
101,PP_7277_2,ngct,n_4099,DUK,109.6,0.016075095335875624
102,PP_7277_3,ngct,n_4099,DUK,109.6,0.016075095335875624
103,PP_7277_4,ngct,n_4099,DUK,109.6,0.016075095335875624
104,PP_7277_5,ngct,n_4099,DUK,109.6,0.016075095335875624
105,PP_7277_6,ngct,n_4099,DUK,109.6,0.016075095335875624
106,PP_7277_7,ngct,n_4099,DUK,109.6,0.016075095335875624
107,PP_7277_8,ngct,n_4099,DUK,109.6,0.016075095335875624
108,PP_7277_9,ngct,n_4099,DUK,109.6,0.016075095335875624
109,PP_7805_001,ngct,n_28663,CPLE,199.4,0.07722994693830125
