,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,Balancing Authority Code,index_right,BA_ID,nearest_node,distance_to_nearest_node
6528,PP_65506,5.0,SOLAR,-79.557136,35.213491,POINT (-79.557136 35.213491),yellow,CPLE,605,CPLE,n_29016,0.027484626672954142
6530,PP_58957,4.8,SOLAR,-79.014444,34.309722,POINT (-79.014444 34.309722),yellow,CPLE,736,CPLE,n_9841,0.04388205146021568
6532,PP_56549,2.2,OIL,-81.3928,35.7811,POINT (-81.3928 35.7811),darkviolet,DUK,40,DUK,n_18690,0.02802050860793687
6533,PP_58487,2.5,SOLAR,-78.593889,36.411667,POINT (-78.593889 36.411667),yellow,CPLE,342,Overlapping,n_29262,0.05991990536027505
6535,PP_64450,15.0,SOLAR,-77.897552,36.23891,POINT (-77.897552 36.23891),yellow,PJM,464,CPLE,n_6403,0.19724382482757602
6536,PP_60181,5.0,SOLAR,-77.1182,35.16922,POINT (-77.1182 35.16922),yellow,DUK,271,CPLE,n_9867,0.01605555359028781
6537,PP_55599,5.3,BIOMASS,-80.668024,35.353269,POINT (-80.668024 35.353269),forestgreen,DUK,85,DUK,n_4472,0.047173305138367226
6539,PP_2709,2047.7,GAS,-78.089444,35.373611,POINT (-78.089444 35.373611),red,DUK,803,CPLE,n_6661,0.006463550585129888
6540,PP_58943,20.0,SOLAR,-77.711389,36.441944,POINT (-77.711389 36.441944),yellow,PJM,2,CPLE,n_10054,0.051620589534017595
6541,PP_61877,4.9,SOLAR,-77.213772,34.800947,POINT (-77.213772 34.800947),yellow,DUK,319,CPLE,n_9454,0.0161273512605113
6542,PP_59512,4.0,SOLAR,-78.5108,35.3965,POINT (-78.5108 35.3965),yellow,CPLE,376,CPLE,n_6901,0.03510181083261164
6544,PP_59337,5.0,SOLAR,-78.100833,35.211944,POINT (-78.100833 35.211944),yellow,CPLE,803,CPLE,n_18868,0.01991983197111888
6545,PP_6015,950.9,NUCLEAR,-78.9556,35.6334,POINT (-78.9556 35.6334),cyan,CPLE,304,Overlapping,n_319,0.003894053759719271
6546,PP_63975,5.0,SOLAR,-78.524535,34.984262,POINT (-78.524535 34.984262),yellow,CPLE,858,CPLE,n_13956,0.18308280553102116
6547,PP_64144,80.0,SOLAR,-77.64,35.9,POINT (-77.64 35.9),yellow,PJM,403,CPLE,n_6663,0.06585082815652406
6548,PP_63299,2.0,SOLAR,-77.784167,34.90389,POINT (-77.784167 34.90389),yellow,CPLE,59,CPLE,n_16404,0.15947056906641716
6549,PP_10258,1.5,HYDRO,-79.3244,35.9483,POINT (-79.3244 35.9483),royalblue,DUK,71,DUK,n_1851,0.23168477877452595
6550,PP_62951,65.0,SOLAR,-78.105,36.533,POINT (-78.105 36.533),yellow,PJM,763,CPLE,n_6400,0.06365999896270608
6551,PP_63974,3.0,SOLAR,-80.737407,36.388216,POINT (-80.737407 36.388216),yellow,DUK,72,DUK,n_29661,0.11318779594009686
6552,PP_58332,5.0,SOLAR,-81.235278,35.525833,POINT (-81.235278 35.525833),yellow,DUK,863,DUK,n_15630,0.09230295417973183
6553,PP_61255,4.9,SOLAR,-79.915,35.343,POINT (-79.915 35.343),yellow,CPLE,682,CPLE,n_29983,0.020705915359884166
6554,PP_60121,1.9,SOLAR,-78.59453,35.560002,POINT (-78.59453 35.560002),yellow,DUK,379,CPLE,n_7618,0.05403708296698317
6555,PP_62539,2.0,SOLAR,-79.419519,35.13432,POINT (-79.419519 35.13432),yellow,CPLE,593,CPLE,n_29016,0.14000574170972468
6556,PP_60577,5.0,SOLAR,-79.909719,35.376236,POINT (-79.909719 35.376236),yellow,CPLE,682,CPLE,n_15689,0.032439353436493096
6557,PP_60157,4.5,SOLAR,-78.221475,34.308744,POINT (-78.221475 34.308744),yellow,DUK,586,CPLE,n_30413,0.015335478122386316
6559,PP_65552,5.0,SOLAR,-79.577907,35.859618,POINT (-79.577907 35.859618),yellow,CPLE,909,Overlapping,n_28211,0.07142324186447215
6561,PP_60778,5.0,SOLAR,-79.474542,34.784039,POINT (-79.474542 34.784039),yellow,DUK,360,CPLE,n_29001,0.01824702956917722
6562,PP_59829,5.0,SOLAR,-78.009167,34.802222,POINT (-78.009167 34.802222),yellow,CPLE,57,CPLE,n_9872,0.03382315421597302
6563,PP_56059,1.8,OIL,-79.990124,35.924393,POINT (-79.990124 35.924393),darkviolet,DUK,834,DUK,n_7041,0.09679487119013215
6564,PP_57196,1.8,OIL,-79.96,35.97,POINT (-79.96 35.97),darkviolet,DUK,834,DUK,n_7041,0.07228813591810822
6565,PP_56260,3.6,OIL,-79.9497,35.9861,POINT (-79.9497 35.9861),darkviolet,DUK,834,DUK,n_7041,0.07174063533669789
6566,PP_54896,33.0,HYDRO,-80.2339,35.6008,POINT (-80.2339 35.6008),royalblue,YAD,204,DUK,n_15641,0.1559703012043054
6567,PP_10550,1.8,HYDRO,-81.201002,35.394254,POINT (-81.201002 35.394254),royalblue,DUK,109,DUK,n_4517,0.11740740460223821
6568,PP_59163,5.0,SOLAR,-77.451944,35.363889,POINT (-77.451944 35.363889),yellow,CPLE,106,CPLE,n_6679,0.010187962782053684
6569,PP_59487,4.9,SOLAR,-77.99,35.433889,POINT (-77.99 35.433889),yellow,DUK,772,CPLE,n_6661,0.11930777684161431
6570,PP_2780,165.6,HYDRO,-84.177533,35.150864,POINT (-84.177533 35.150864),royalblue,TVA,850,DUK,n_1081,0.9590997570882274
6571,PP_63695,2.0,SOLAR,-79.132926,34.662627,POINT (-79.132926 34.662627),yellow,CPLE,878,CPLE,n_9850,0.07972342711916124
6572,PP_58623,20.0,SOLAR,-79.340833,34.774167,POINT (-79.340833 34.774167),yellow,CPLE,229,CPLE,n_9852,0.06456463269594602
6573,PP_61256,4.9,SOLAR,-77.497,35.205,POINT (-77.497 35.205),yellow,CPLE,311,CPLE,n_23782,0.16605417499998262
6574,PP_61883,1.3,SOLAR,-79.8727,35.62845,POINT (-79.8727 35.62845),yellow,CPLE,900,Overlapping,n_6692,0.15138653362716056
6575,PP_60312,4.9,SOLAR,-80.543086,35.225669,POINT (-80.543086 35.225669),yellow,DUK,88,DUK,n_15775,0.022722208589224704
6576,PP_56550,2.2,OIL,-80.832879,35.383222,POINT (-80.832879 35.383222),darkviolet,DUK,133,DUK,n_28471,0.0012366434029743847
6577,PP_59510,5.0,SOLAR,-79.5667,36.2847,POINT (-79.5667 36.2847),yellow,DUK,349,DUK,n_28710,0.12576959024973663
6578,PP_59564,5.0,SOLAR,-81.515833,35.260833,POINT (-81.515833 35.260833),yellow,DUK,268,DUK,n_4496,0.02846044835357508
6580,PP_60209,5.0,SOLAR,-77.631511,36.348734,POINT (-77.631511 36.348734),yellow,PJM,1,CPLE,n_6402,0.06135361441393792
6581,PP_54618,8.4,BIOMASS,-80.227404,36.033761,POINT (-80.227404 36.033761),forestgreen,DUK,551,DUK,n_28704,0.02298060048385567
6582,PP_60050,1.5,SOLAR,-82.890319,35.473629,POINT (-82.890319 35.473629),yellow,DUK,832,CPLW,n_28601,0.261954416993138
6583,PP_59553,2.0,SOLAR,-82.3575,35.368889,POINT (-82.3575 35.368889),yellow,CPLE,149,Overlapping,n_11731,0.10788843380356163
6584,PP_59554,2.0,SOLAR,-81.764167,35.319444,POINT (-81.764167 35.319444),yellow,DUK,510,DUK,n_15512,0.060348371065183294
6585,PP_60055,2.0,SOLAR,-82.350001,35.363863,POINT (-82.350001 35.363863),yellow,DUK,149,Overlapping,n_11731,0.11176447697477293
6586,PP_60051,1.9,SOLAR,-81.795051,35.378187,POINT (-81.795051 35.378187),yellow,DUK,510,DUK,n_15511,0.021790586607067113
6587,PP_59670,1.9,SOLAR,-81.419019,35.259825,POINT (-81.419019 35.259825),yellow,DUK,268,DUK,n_29803,0.0933649502530475
