,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2,Total_Capacity,Weight
485,PP_59999,3.0,SOLAR,-79.24481,36.084097,POINT (-79.24481 36.084097),yellow,DUK,173,Overlapping,n_1850,n_1850,No,DUK,0.20558752,0.20558752,2361.4,0.0012704327941051917
486,PP_58742,5.0,SOLAR,-81.315278,35.586111,POINT (-81.315278 35.586111),yellow,DUK,716,DUK,n_30412,n_30412,No,DUK,0.04620033,0.04620033,2361.4,0.0021173879901753194
487,PP_2729,36.0,HYDRO,-81.1922,35.8214,POINT (-81.1922 35.8214),royalblue,DUK,35,DUK,n_15622,n_15622,No,DUK,0.149779204,0.149779204,5094.8,0.007066028107089581
488,PP_62018,1.6,SOLAR,-78.639456,35.533191,POINT (-78.639456 35.533191),yellow,CPLE,379,CPLE,n_7618,n_7618,No,CPLE,0.00437644,0.00437644,2632.4,0.000607810363166692
489,PP_58799,5.0,SOLAR,-76.87,35.501111,POINT (-76.87 35.501111),yellow,CPLE,572,CPLE,n_9862,n_9862,No,CPLE,0.155541473,0.155541473,2632.4,0.0018994073848959123
490,PP_62089,1.0,SOLAR,-79.090206,34.436698,POINT (-79.090206 34.436698),yellow,CPLE,840,CPLE,n_9851,n_9851,No,CPLE,0.13950583,0.13950583,2632.4,0.0003798814769791825
491,PP_62128,2.0,SOLAR,-78.912997,34.909631,POINT (-78.912997 34.909631),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.046034424,0.046034424,2632.4,0.000759762953958365
492,PP_62129,2.0,SOLAR,-78.912481,34.908589,POINT (-78.912481 34.908589),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.046705391,0.046705391,2632.4,0.000759762953958365
493,PP_62120,2.0,SOLAR,-79.0847,34.4384,POINT (-79.0847 34.4384),yellow,CPLE,840,CPLE,n_9851,n_9851,No,CPLE,0.135818664,0.135818664,2632.4,0.000759762953958365
494,PP_62121,2.0,SOLAR,-79.090672,34.631814,POINT (-79.090672 34.631814),yellow,CPLE,878,CPLE,n_9850,n_9850,No,CPLE,0.039815791,0.039815791,2632.4,0.000759762953958365
495,PP_62122,2.0,SOLAR,-78.52434,34.519408,POINT (-78.52434 34.519408),yellow,CPLE,264,CPLE,n_28719,n_28719,No,CPLE,0.237337488,0.237337488,2632.4,0.000759762953958365
496,PP_62123,1.0,SOLAR,-78.810478,35.047153,POINT (-78.810478 35.047153),yellow,CPLE,306,CPLE,n_7619,n_7619,No,CPLE,0.054572901,0.054572901,2632.4,0.0003798814769791825
497,PP_62124,1.0,SOLAR,-78.7874,34.353586,POINT (-78.7874 34.353586),yellow,CPLE,259,CPLE,n_9821,n_9821,No,CPLE,0.057850004,0.057850004,2632.4,0.0003798814769791825
498,PP_62125,1.5,SOLAR,-78.205464,35.121181,POINT (-78.205464 35.121181),yellow,CPLE,852,CPLE,n_9874,n_9874,No,CPLE,0.097404916,0.097404916,2632.4,0.0005698222154687737
499,PP_62126,2.0,SOLAR,-79.705958,35.420931,POINT (-79.705958 35.420931),yellow,CPLE,591,CPLE,n_14626,n_14626,No,CPLE,0.092299403,0.092299403,2632.4,0.000759762953958365
500,PP_62127,2.0,SOLAR,-78.9136,34.910856,POINT (-78.9136 34.910856),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.045269268,0.045269268,2632.4,0.000759762953958365
501,PP_58856,5.0,SOLAR,-79.199444,34.816667,POINT (-79.199444 34.816667),yellow,CPLE,210,CPLE,n_15226,n_15226,No,CPLE,0.086525743,0.086525743,2632.4,0.0018994073848959123
502,PP_58305,1.0,SOLAR,-78.9675,36.3125,POINT (-78.9675 36.3125),yellow,CPLE,353,CPLE,n_7557,n_7557,No,CPLE,0.092592156,0.092592156,2632.4,0.0003798814769791825
503,PP_50509,54.0,OTHF,-76.779864,35.376266,POINT (-76.779864 35.376266),tan,CPLE,573,CPLE,n_9862,n_9862,No,CPLE,0.003402213,0.003402213,54.0,1.0
504,PP_58538,2.5,SOLAR,-78.986111,36.288056,POINT (-78.986111 36.288056),yellow,DUK,353,CPLE,n_7557,n_7557,No,DUK,0.099049459,0.099049459,2361.4,0.0010586939950876597
505,PP_65555,5.0,SOLAR,-78.653997,36.271819,POINT (-78.653997 36.271819),yellow,CPLE,5,Overlapping,n_10707,n_10707,No,CPLE,0.046222485,0.046222485,2632.4,0.0018994073848959123
506,PP_62659,5.0,SOLAR,-77.185206,35.067661,POINT (-77.185206 35.067661),yellow,CPLE,271,CPLE,n_23599,n_23599,No,CPLE,0.016802307,0.016802307,2632.4,0.0018994073848959123
507,PP_59157,5.0,SOLAR,-79.829444,34.909167,POINT (-79.829444 34.909167),yellow,CPLE,621,CPLE,n_29018,n_29018,No,CPLE,0.039018592,0.039018592,2632.4,0.0018994073848959123
508,PP_63266,2.0,SOLAR,-77.513,35.759,POINT (-77.513 35.759),yellow,PJM,90,CPLE,n_10039,n_10039,No,CPLE,0.13422399,0.13422399,2632.4,0.000759762953958365
509,PP_60629,2.0,SOLAR,-78.97198,36.43741,POINT (-78.97198 36.43741),yellow,DUK,524,CPLE,n_6670,n_6670,No,DUK,0.011826135,0.011826135,2361.4,0.0008469551960701278
510,PP_63692,2.0,SOLAR,-78.017811,35.167164,POINT (-78.017811 35.167164),yellow,CPLE,56,CPLE,n_18693,n_18693,No,CPLE,0.08235466,0.08235466,2632.4,0.000759762953958365
511,PP_61404,5.0,SOLAR,-77.979166,35.478155,POINT (-77.979166 35.478155),yellow,CPLE,811,CPLE,n_6907,n_6907,No,CPLE,0.137074498,0.137074498,2632.4,0.0018994073848959123
512,PP_63835,4.9,SOLAR,-80.37635,36.27066,POINT (-80.37635 36.27066),yellow,DUK,128,DUK,n_6965,n_6965,No,DUK,0.013033051,0.013033051,2361.4,0.0020750402303718134
513,PP_61978,5.0,SOLAR,-79.51909,35.220823,POINT (-79.51909 35.220823),yellow,CPLE,605,CPLE,n_29016,n_29016,No,CPLE,0.011343756,0.011343756,2632.4,0.0018994073848959123
514,PP_56345,1.8,OIL,-80.8816,35.0767,POINT (-80.8816 35.0767),darkviolet,DUK,154,DUK,n_4459,n_4459,No,DUK,0.09779582,0.09779582,140.0,0.012857142857142857
515,PP_7826,1192.0,GAS,-80.6019,35.7314,POINT (-80.6019 35.7314),red,DUK,429,DUK,n_4473,n_4473,No,DUK,0.008620044,0.008620044,12884.5,0.09251426132174317
516,PP_63015,5.0,SOLAR,-77.092,35.138,POINT (-77.092 35.138),yellow,CPLE,271,CPLE,n_12417,n_12417,No,CPLE,0.018612162,0.018612162,2632.4,0.0018994073848959123
517,PP_59917,5.0,SOLAR,-77.219,34.998,POINT (-77.219 34.998),yellow,CPLE,313,CPLE,n_9479,n_9479,No,CPLE,0.059601379,0.059601379,2632.4,0.0018994073848959123
518,PP_59504,5.0,SOLAR,-77.0743,35.2167,POINT (-77.0743 35.2167),yellow,CPLE,96,CPLE,n_9867,n_9867,No,CPLE,0.074701368,0.074701368,2632.4,0.0018994073848959123
519,PP_64035,2.0,SOLAR,-78.372088,35.602063,POINT (-78.372088 35.602063),yellow,CPLE,417,CPLE,n_6904,n_6904,No,CPLE,0.044947478,0.044947478,2632.4,0.000759762953958365
520,PP_59533,5.0,SOLAR,-78.192222,35.504444,POINT (-78.192222 35.504444),yellow,CPLE,157,CPLE,n_340,n_340,No,CPLE,0.104967223,0.104967223,2632.4,0.0018994073848959123
521,PP_58529,2.0,SOLAR,-79.447222,34.756389,POINT (-79.447222 34.756389),yellow,CPLE,229,CPLE,n_9846,n_9846,No,CPLE,0.009575793,0.009575793,2632.4,0.000759762953958365
522,PP_58493,4.0,SOLAR,-78.250833,35.948056,POINT (-78.250833 35.948056),yellow,CPLE,281,CPLE,n_12414,n_12414,No,CPLE,0.157607515,0.157607515,2632.4,0.00151952590791673
523,PP_58494,3.5,SOLAR,-79.0975,34.476111,POINT (-79.0975 34.476111),yellow,CPLE,839,CPLE,n_23776,n_23776,No,CPLE,0.106982751,0.106982751,2632.4,0.0013295851694271386
524,PP_58495,3.5,SOLAR,-79.353889,34.714167,POINT (-79.353889 34.714167),yellow,CPLE,876,CPLE,n_9852,n_9852,No,CPLE,0.053546618,0.053546618,2632.4,0.0013295851694271386
525,PP_62095,4.5,SOLAR,-77.642,34.437,POINT (-77.642 34.437),yellow,CPLE,180,CPLE,n_9837,n_9837,No,CPLE,0.066423324,0.066423324,2632.4,0.0017094666464063212
526,PP_6438,1.4,HYDRO,-83.676016,35.27127,POINT (-83.676016 35.27127),royalblue,DUK,361,DUK,n_13721,n_1063,Yes,DUK,0.541071467,0.461585725,5094.8,0.0002747899819423726
527,PP_59506,4.0,SOLAR,-78.8078,35.0717,POINT (-78.8078 35.0717),yellow,CPLE,306,CPLE,n_7619,n_7619,No,CPLE,0.033773126,0.033773126,2632.4,0.00151952590791673
528,PP_56966,3.9,SOLAR,-77.6731,35.9222,POINT (-77.6731 35.9222),yellow,PJM,140,CPLE,n_6663,n_6663,No,CPLE,0.10195107,0.10195107,2632.4,0.0014815377602188117
529,PP_58274,5.0,SOLAR,-79.211944,34.968889,POINT (-79.211944 34.968889),yellow,CPLE,324,CPLE,n_9887,n_9887,No,CPLE,0.057901841,0.057901841,2632.4,0.0018994073848959123
530,PP_58316,5.0,SOLAR,-78.970833,34.82,POINT (-78.970833 34.82),yellow,CPLE,212,CPLE,n_15226,n_15226,No,CPLE,0.143299325,0.143299325,2632.4,0.0018994073848959123
531,PP_61095,5.0,SOLAR,-78.950494,34.807903,POINT (-78.950494 34.807903),yellow,CPLE,212,CPLE,n_9822,n_9822,No,CPLE,0.154075076,0.154075076,2632.4,0.0018994073848959123
532,PP_63381,4.1,SOLAR,-79.185,34.68056,POINT (-79.185 34.68056),yellow,CPLE,877,CPLE,n_23777,n_23777,No,CPLE,0.081509401,0.081509401,2632.4,0.001557514055614648
533,PP_58810,5.0,SOLAR,-77.316111,35.64,POINT (-77.316111 35.64),yellow,CPLE,502,CPLE,n_23786,n_23786,No,CPLE,0.02759781,0.02759781,2632.4,0.0018994073848959123
534,PP_63017,5.0,SOLAR,-80.376,35.933,POINT (-80.376 35.933),yellow,DUK,232,DUK,n_6977,n_6977,No,DUK,0.052786377,0.052786377,2361.4,0.0021173879901753194
535,PP_59760,5.0,SOLAR,-78.141105,36.404382,POINT (-78.141105 36.404382),yellow,CPLE,633,CPLE,n_16911,n_16911,No,CPLE,0.097594475,0.097594475,2632.4,0.0018994073848959123
536,PP_60929,5.0,SOLAR,-77.933518,35.993015,POINT (-77.933518 35.993015),yellow,DUK,708,CPLE,n_28998,n_28998,No,DUK,0.108409944,0.108409944,2361.4,0.0021173879901753194
