Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2
PP_60579,5,SOLAR,-78.604589,36.288911,POINT (-78.604589 36.288911),yellow,CPLE,5,Overlapping,n_10707,n_10707,No,CPLE,0.013129861,0.013129861
PP_10181,2.4,HYDRO,-82.5992,35.6497,POINT (-82.5992 35.6497),royalblue,CPLE,628,Overlapping,n_28601,n_28601,No,CPLE,0.118085867,0.118085867
PP_58336,5,SOLAR,-78.949586,36.230561,POINT (-78.949586 36.230561),yellow,CPLE,118,Overlapping,n_7557,n_7557,No,CPLE,0.065665482,0.065665482
PP_61196,5,SOLAR,-78.701463,34.307121,POINT (-78.701463 34.307121),yellow,CPLE,259,CPLE,n_28990,n_28990,No,CPLE,0.011756024,0.011756024
PP_61160,1.4,SOLAR,-80.821,35.575,POINT (-80.821 35.575),yellow,DUK,894,DUK,n_6940,n_6940,No,DUK,0.013461227,0.013461227
PP_59576,5,SOLAR,-79.771085,35.81771,POINT (-79.771085 35.81771),yellow,DUK,780,Overlapping,n_23849,n_23849,No,DUK,0.056407273,0.056407273
PP_61093,5,SOLAR,-79.935844,34.968056,POINT (-79.935844 34.968056),yellow,CPLE,504,Overlapping,n_18688,n_18688,No,CPLE,0.014081569,0.014081569
PP_58739,3,SOLAR,-79.348889,36.148889,POINT (-79.348889 36.148889),yellow,DUK,100,DUK,n_10058,n_10058,No,DUK,0.260900504,0.260900504
PP_58740,3,SOLAR,-79.361944,35.948056,POINT (-79.361944 35.948056),yellow,DUK,143,DUK,n_23848,n_23848,No,DUK,0.219559564,0.219559564
PP_59577,5,SOLAR,-80.293611,35.468611,POINT (-80.293611 35.468611),yellow,DUK,237,Overlapping,n_15692,n_15692,No,DUK,0.183734678,0.183734678
PP_2746,1.8,HYDRO,-83.9258,35.0647,POINT (-83.9258 35.0647),royalblue,DUK,719,DUK,n_1081,n_1063,Yes,DUK,0.699075201,0.185847061
PP_58313,5,SOLAR,-80.541944,35.878611,POINT (-80.541944 35.878611),yellow,CPLE,80,DUK,n_4473,n_4473,No,CPLE,0.166589777,0.166589777
PP_59570,15.4,SOLAR,-80.574444,35.833889,POINT (-80.574444 35.833889),yellow,DUK,231,DUK,n_4473,n_4473,No,DUK,0.114183617,0.114183617
PP_59123,3,SOLAR,-79.0325,35.568333,POINT (-79.0325 35.568333),yellow,CPLE,635,Overlapping,n_6650,n_6650,No,CPLE,0.024292068,0.024292068
PP_57505,30,GAS,-80.506037,34.985814,POINT (-80.506037 34.985814),red,DUK,300,DUK,n_15782,n_15782,No,DUK,0.057140919,0.057140919
PP_56343,1.8,OIL,-80.540038,34.973274,POINT (-80.540038 34.973274),darkviolet,DUK,300,DUK,n_15782,n_15782,No,DUK,0.029994421,0.029994421
PP_59578,5,SOLAR,-80.601944,34.971944,POINT (-80.601944 34.971944),yellow,DUK,300,DUK,n_15782,n_15782,No,DUK,0.044443175,0.044443175
PP_60383,54.6,SOLAR,-80.625615,34.929945,POINT (-80.625615 34.929945),yellow,DUK,296,DUK,n_31027,n_31027,No,DUK,0.025562521,0.025562521
PP_58649,20,SOLAR,-79.768333,35.344444,POINT (-79.768333 35.344444),yellow,DUK,676,CPLE,n_14626,n_14626,No,DUK,0.026316506,0.026316506
PP_64193,5,SOLAR,-79.48112,36.38427,POINT (-79.48112 36.38427),yellow,DUK,15,Overlapping,n_28710,n_28710,No,DUK,0.154149064,0.154149064
PP_58337,5,SOLAR,-79.759203,36.273192,POINT (-79.759203 36.273192),yellow,DUK,331,DUK,n_7014,n_7014,No,DUK,0.093053279,0.093053279
PP_58338,5,SOLAR,-77.829167,35.305833,POINT (-77.829167 35.305833),yellow,CPLE,220,CPLE,n_9873,n_9873,No,CPLE,0.145929336,0.145929336
PP_61405,5,SOLAR,-77.828889,35.305747,POINT (-77.828889 35.305747),yellow,CPLE,220,CPLE,n_9873,n_9873,No,CPLE,0.145641641,0.145641641
